rank,name,artist,track_id,url
1,Risk,Gracie Abrams,73c7iqH4lCVqu4tm66i0tY,https://open.spotify.com/track/73c7iqH4lCVqu4tm66i0tY
2,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,0jAfdqv18goRTUxm3ilRjb,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
3,Back 2 U (AM 01:27),NCT 127,37SqctQhMp3MjvGDXKhnJ3,https://open.spotify.com/track/37SqctQhMp3MjvGDXKhnJ3
4,Track 10,Charli xcx,4t9PBD27dndlf6YMBK2ROc,https://open.spotify.com/track/4t9PBD27dndlf6YMBK2ROc
5,Strangers,Ethel Cain,5Cc0Pe8p7c2OJxMj07ywvc,https://open.spotify.com/track/5Cc0Pe8p7c2OJxMj07ywvc
6,False God,Taylor Swift,5hQSXkFgbxjZo9uCwd11so,https://open.spotify.com/track/5hQSXkFgbxjZo9uCwd11so
7,Tough,Quavo,22DH8NChecsgPxDjA4pqer,https://open.spotify.com/track/22DH8NChecsgPxDjA4pqer
8,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,1yeB8MUNeLo9Ek1UEpsyz6,https://open.spotify.com/track/1yeB8MUNeLo9Ek1UEpsyz6
9,Nobody's Better,Suzi,6XKm1z5lYIq486iWMLnSFY,https://open.spotify.com/track/6XKm1z5lYIq486iWMLnSFY
10,toxic till the end,ROSÉ,1z5ebC9238uGoBgzYyvGpQ,https://open.spotify.com/track/1z5ebC9238uGoBgzYyvGpQ
11,greedy,Tate McRae,3rUGC1vUpkDG9CZFHMur1t,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t
12,Rent Free,6LACK,1NKilzEyipTC34AHEMnKAl,https://open.spotify.com/track/1NKilzEyipTC34AHEMnKAl
13,Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,3xby7fOyqmeON8jsnom0AT,https://open.spotify.com/track/3xby7fOyqmeON8jsnom0AT
14,Traphouse,Tory Lanez,5rqfg8Hz5D1aCcn2XUxzNA,https://open.spotify.com/track/5rqfg8Hz5D1aCcn2XUxzNA
15,Agora Hills,Doja Cat,7dJYggqjKo71KI9sLzqCs8,https://open.spotify.com/track/7dJYggqjKo71KI9sLzqCs8
16,Beat It (feat. Chris Brown & Wiz Khalifa),Sean Kingston,3bwCMbwDZVtvJDnUTQIdCX,https://open.spotify.com/track/3bwCMbwDZVtvJDnUTQIdCX
17,Drive By,Eric Bellinger,1kEINOBYcSCQ5RwkP65g2A,https://open.spotify.com/track/1kEINOBYcSCQ5RwkP65g2A
18,Whatever She Wants,Bryson Tiller,57wp7VFnV8X0pSVnYArGeJ,https://open.spotify.com/track/57wp7VFnV8X0pSVnYArGeJ
19,I Don't Wanna Do This Anymore,XXXTENTACION,5de9Ho64dovuQI8Uhn5gPD,https://open.spotify.com/track/5de9Ho64dovuQI8Uhn5gPD
20,Stuff (feat. Travis Scott),Lil Baby,6JvIjI8H3yxpigROd3Cv9N,https://open.spotify.com/track/6JvIjI8H3yxpigROd3Cv9N
21,Lovin' (feat. A Boogie wit da Hoodie),PnB Rock,2bwN9oZIn9XXSd8RlJ4FDM,https://open.spotify.com/track/2bwN9oZIn9XXSd8RlJ4FDM
