rank,name,artist,track_id,url
1,Psycho Dreams (Sped Up),Kill Eva,6yt46G7lWn0oC2FEZZDsi6,https://open.spotify.com/track/6yt46G7lWn0oC2FEZZDsi6
2,Bail Me Out,Trus'me,0OaZXNGVeOwusAX4sDlM0L,https://open.spotify.com/track/0OaZXNGVeOwusAX4sDlM0L
3,Senseless,Portugal. The Man,2X3NxzbcjEsT3gQ5tMiuHJ,https://open.spotify.com/track/2X3NxzbcjEsT3gQ5tMiuHJ
4,So Young,Portugal. The Man,4SNtyKNyYJ8ERT7YLlnFBr,https://open.spotify.com/track/4SNtyKNyYJ8ERT7YLlnFBr
5,My Mind,Portugal. The Man,4VtiqG418FJ7BtApmld9LQ,https://open.spotify.com/track/4VtiqG418FJ7BtApmld9LQ
6,After The Earthquake,Alvvays,0O5q2h0kfQD6PixL7rCHuL,https://open.spotify.com/track/0O5q2h0kfQD6PixL7rCHuL
7,Floating (Time Isn't Working My Side),Portugal. The Man,6nb2FEA0N0xebCwoPW0RW6,https://open.spotify.com/track/6nb2FEA0N0xebCwoPW0RW6
8,Wrong or Right,Surf Trash,5mGFZjhHZWImHG3z0OEuPa,https://open.spotify.com/track/5mGFZjhHZWImHG3z0OEuPa
9,Sleep Forever,Portugal. The Man,1l5lKWHRfyY7Y3FvDBXlvJ,https://open.spotify.com/track/1l5lKWHRfyY7Y3FvDBXlvJ
10,Miss Alissa,Eagles Of Death Metal,1dlgaGdQXmsYKMRuewIZkF,https://open.spotify.com/track/1dlgaGdQXmsYKMRuewIZkF
11,Next of Kin,Alvvays,4eBbWnYbNdz0ZJ5GYPdzZF,https://open.spotify.com/track/4eBbWnYbNdz0ZJ5GYPdzZF
12,Don't Break My Heart,Boston Bun,4FlUR0F8qDcCJoppxn4UFZ,https://open.spotify.com/track/4FlUR0F8qDcCJoppxn4UFZ
13,Jigsaw Falling Into Place,Radiohead,0YJ9FWWHn9EfnN0lHwbzvV,https://open.spotify.com/track/0YJ9FWWHn9EfnN0lHwbzvV
14,Your Cover's Blown,Belle and Sebastian,5Ko8Fc69xLlzwgNxAs7cUU,https://open.spotify.com/track/5Ko8Fc69xLlzwgNxAs7cUU
15,VIRUS - Odd Mob Remix,GEN.KLOUD,0MyfdGptOUnUnGzJmiyCOG,https://open.spotify.com/track/0MyfdGptOUnUnGzJmiyCOG
16,Seeing Other People,Belle and Sebastian,3XKpwWlhg8sDQrtKqryE74,https://open.spotify.com/track/3XKpwWlhg8sDQrtKqryE74
