rank,name,artist,track_id,url
1,Track 10,Charli xcx,4t9PBD27dndlf6YMBK2ROc,https://open.spotify.com/track/4t9PBD27dndlf6YMBK2ROc
2,Stuff (feat. Travis Scott),Lil Baby,6JvIjI8H3yxpigROd3Cv9N,https://open.spotify.com/track/6JvIjI8H3yxpigROd3Cv9N
3,intro (end of the world) - extended,Ariana Grande,33cRPtUHTjMG90FZV76S8T,https://open.spotify.com/track/33cRPtUHTjMG90FZV76S8T
4,Spring Into Summer,Lizzy McAlpine,6oCXDaFZYL7sHnowv6pdXb,https://open.spotify.com/track/6oCXDaFZYL7sHnowv6pdXb
5,How Does It Feel To Be Forgotten,Selena Gomez,7sFMOSnRBa6td4lZa1oiTI,https://open.spotify.com/track/7sFMOSnRBa6td4lZa1oiTI
6,David,Lorde,6ghDayhHeBXAP4OOnnrFW9,https://open.spotify.com/track/6ghDayhHeBXAP4OOnnrFW9
7,Constant Repeat,Charli xcx,0U9ltIN4q3aBKGZDZq5cAW,https://open.spotify.com/track/0U9ltIN4q3aBKGZDZq5cAW
8,Pushing It Down and Praying,Lizzy McAlpine,0Exki6SgSuYfWQDP0npFlF,https://open.spotify.com/track/0Exki6SgSuYfWQDP0npFlF
9,The Abyss (feat. Lana Del Rey),The Weeknd,4cYllEeJVH7dWKwQxpbk42,https://open.spotify.com/track/4cYllEeJVH7dWKwQxpbk42
10,DUMBO,Travis Scott,7y6RcmZyMDZ49yVupz7JdO,https://open.spotify.com/track/7y6RcmZyMDZ49yVupz7JdO
11,Just Keep Watching (From F1® The Movie),Tate McRae,2yWlGEgEfPot0lv3OAjuG3,https://open.spotify.com/track/2yWlGEgEfPot0lv3OAjuG3
12,RATHER LIE (with The Weeknd),Playboi Carti,68qeaZhtMZ6abrJCYt6nQn,https://open.spotify.com/track/68qeaZhtMZ6abrJCYt6nQn
13,FEEL THE BA$S (Prelude) [feat. BEAM],Josh Levi,15pe8BxUJUXkCmgzummpM9,https://open.spotify.com/track/15pe8BxUJUXkCmgzummpM9
14,ten,Fred again..,6twB0uYXJYW9t5GHfYaQ3i,https://open.spotify.com/track/6twB0uYXJYW9t5GHfYaQ3i
15,We Hug Now,Sydney Rose,7zFio8WT0tTBqLs1pXYKqy,https://open.spotify.com/track/7zFio8WT0tTBqLs1pXYKqy
16,"BYF (feat. A$AP Rocky, A$AP Ant & Smooky MarGielaa)",A$AP Mob,6g5exlGGjNqJwIK6OQoolD,https://open.spotify.com/track/6g5exlGGjNqJwIK6OQoolD
17,LIL DEMON,Future,3aCPResPDNae3pXTocGpYe,https://open.spotify.com/track/3aCPResPDNae3pXTocGpYe
18,Gotta Go My Own Way,Zac Efron,5rWIO1uP0GwAoU45RTBJ2F,https://open.spotify.com/track/5rWIO1uP0GwAoU45RTBJ2F
19,Damn Right (feat. Childish Gambino & Kali Uchis),JENNIE,6HjYE79OOCGEhkIRfXLqrz,https://open.spotify.com/track/6HjYE79OOCGEhkIRfXLqrz
20,style,2hollis,3jrY4AAWTvZfmwGs3E7QcN,https://open.spotify.com/track/3jrY4AAWTvZfmwGs3E7QcN
21,PBT,Travis Scott,6lnmfGslDQnFc4973EpAs2,https://open.spotify.com/track/6lnmfGslDQnFc4973EpAs2
22,Staying,Lizzy McAlpine,3tcCT8WhAIeRW2Ey9M4bL5,https://open.spotify.com/track/3tcCT8WhAIeRW2Ey9M4bL5
23,DIFFERENT DAY,Playboi Carti,0dApSLrXvnYWy1wagJOmpp,https://open.spotify.com/track/0dApSLrXvnYWy1wagJOmpp
24,I Think I Like You Better When You’re Gone,Reneé Rapp,3hBzKgqQKkChH9hyb3MhmT,https://open.spotify.com/track/3hBzKgqQKkChH9hyb3MhmT
25,Folded,Kehlani,0bxPRWprUVpQK0UFcddkrA,https://open.spotify.com/track/0bxPRWprUVpQK0UFcddkrA
26,No Broke Boys,Disco Lines,3cZajhyr8LmtPfHZ9296tj,https://open.spotify.com/track/3cZajhyr8LmtPfHZ9296tj
27,I Got Bitches,A2M,6gPqBegU4aDWoSYXeCyURA,https://open.spotify.com/track/6gPqBegU4aDWoSYXeCyURA
28,Wedding Dress,TAEYANG,2NO4CA2TFvhGeg7XMz8PmT,https://open.spotify.com/track/2NO4CA2TFvhGeg7XMz8PmT
29,Girl You Loud,Chris Brown,6dRVOzSxLqRdqUjc9mctGg,https://open.spotify.com/track/6dRVOzSxLqRdqUjc9mctGg
30,360 featuring robyn & yung lean,Charli xcx,4gzzKqbaLeOIWTPG80UfXb,https://open.spotify.com/track/4gzzKqbaLeOIWTPG80UfXb
31,Grass Ain't Greener,Chris Brown,7k802XMtsF57i4WS2M2MGg,https://open.spotify.com/track/7k802XMtsF57i4WS2M2MGg
32,i wish i hated you,Ariana Grande,5cQX9BexkPIEESTZijJhXg,https://open.spotify.com/track/5cQX9BexkPIEESTZijJhXg
33,dandelion,Ariana Grande,3fxDcaiomBMomHdMeCSsZ2,https://open.spotify.com/track/3fxDcaiomBMomHdMeCSsZ2
34,WE NEED ALL DA VIBES (with Young Thug & Ty Dolla $ign),Playboi Carti,4XcZp2xqbiD8YsnPboNUDo,https://open.spotify.com/track/4XcZp2xqbiD8YsnPboNUDo
35,What Was That,Lorde,7hGCCQkdyF1MX6uk339uBS,https://open.spotify.com/track/7hGCCQkdyF1MX6uk339uBS
36,party 4 u,Charli xcx,2RdEC8Ff83WkX7kDVCHseE,https://open.spotify.com/track/2RdEC8Ff83WkX7kDVCHseE
37,Ayo Technology,50 Cent,6kfQDanT6Buh4Wu73ghbav,https://open.spotify.com/track/6kfQDanT6Buh4Wu73ghbav
38,Around Me (feat. Don Toliver),Metro Boomin,221qmpQeBNV87sUjQeUTVH,https://open.spotify.com/track/221qmpQeBNV87sUjQeUTVH
39,Hot Girl (Bodies Bodies Bodies),Charli xcx,0FZUbqZ1x2G71vl027d8Ud,https://open.spotify.com/track/0FZUbqZ1x2G71vl027d8Ud
40,Lipgloss (feat. CupcakKe),Charli xcx,7niKxzFThgRf5fXlIYdjtZ,https://open.spotify.com/track/7niKxzFThgRf5fXlIYdjtZ
41,Man Of The Year,Lorde,1gvOEwQbIEjkpLdcZwtBoB,https://open.spotify.com/track/1gvOEwQbIEjkpLdcZwtBoB
42,Wall To Wall,Chris Brown,5Zu4UO0QlderRYNPFkbJeO,https://open.spotify.com/track/5Zu4UO0QlderRYNPFkbJeO
43,Katrina - Lost Tapes 2017,Tory Lanez,6Il2tOIKP7CfKnIFF99opg,https://open.spotify.com/track/6Il2tOIKP7CfKnIFF99opg
44,Blessed,Daniel Caesar,2XjoHA58XD0t3qye8bYGU8,https://open.spotify.com/track/2XjoHA58XD0t3qye8bYGU8
45,I know love (feat. The Kid LAROI),Tate McRae,4xvEn1vhrF9JbPFWqTXsH4,https://open.spotify.com/track/4xvEn1vhrF9JbPFWqTXsH4
46,São Paulo (feat. Anitta),The Weeknd,7DY756WOLyOz2Xnhw4EFiC,https://open.spotify.com/track/7DY756WOLyOz2Xnhw4EFiC
47,Shut It Down,Drake,3d8PDk3B4am5c6TsUCznUW,https://open.spotify.com/track/3d8PDk3B4am5c6TsUCznUW
48,WICKED,ALLDAY PROJECT,2NOMOpss7BmEXTL9f1koqn,https://open.spotify.com/track/2NOMOpss7BmEXTL9f1koqn
49,Official,Charli xcx,38ybr0LS9XLUcqg8Yo62Wj,https://open.spotify.com/track/38ybr0LS9XLUcqg8Yo62Wj
50,Nobody New,The Marías,3BUc2A0MJ53FHwiy3eohBt,https://open.spotify.com/track/3BUc2A0MJ53FHwiy3eohBt
