rank,name,artist,track_id,url
1,I Think I Like You Better When You’re Gone,Reneé Rapp,3hBzKgqQKkChH9hyb3MhmT,https://open.spotify.com/track/3hBzKgqQKkChH9hyb3MhmT
2,Ayo Technology,50 Cent,6kfQDanT6Buh4Wu73ghbav,https://open.spotify.com/track/6kfQDanT6Buh4Wu73ghbav
3,New N3on,Playboi Carti,7ejepEh5DJ79YI6owGRfkk,https://open.spotify.com/track/7ejepEh5DJ79YI6owGRfkk
4,Take You There,Sean Kingston,6AdLyvisRKHLAwARaZMGr6,https://open.spotify.com/track/6AdLyvisRKHLAwARaZMGr6
5,Knuckle Velvet,Ethel Cain,1OVzsIk3wEhf7WDWMzAiBH,https://open.spotify.com/track/1OVzsIk3wEhf7WDWMzAiBH
6,poster boy,2hollis,0Gz4Q1Bmyef5yA0G6LIIQZ,https://open.spotify.com/track/0Gz4Q1Bmyef5yA0G6LIIQZ
7,Undecided - Lost Tapes 2022,Tory Lanez,0HremecLYmdqpqSnLftQfn,https://open.spotify.com/track/0HremecLYmdqpqSnLftQfn
8,Which One (feat. Central Cee),Drake,5FMyXeZ0reYloRTiCkPprT,https://open.spotify.com/track/5FMyXeZ0reYloRTiCkPprT
9,Staying,Lizzy McAlpine,3tcCT8WhAIeRW2Ey9M4bL5,https://open.spotify.com/track/3tcCT8WhAIeRW2Ey9M4bL5
10,Around Me (feat. Don Toliver),Metro Boomin,221qmpQeBNV87sUjQeUTVH,https://open.spotify.com/track/221qmpQeBNV87sUjQeUTVH
11,360 featuring robyn & yung lean,Charli xcx,4gzzKqbaLeOIWTPG80UfXb,https://open.spotify.com/track/4gzzKqbaLeOIWTPG80UfXb
12,"BYF (feat. A$AP Rocky, A$AP Ant & Smooky MarGielaa)",A$AP Mob,6g5exlGGjNqJwIK6OQoolD,https://open.spotify.com/track/6g5exlGGjNqJwIK6OQoolD
13,Catch My Breath,Kelly Clarkson,7kAYyzVhWr3nSqAC7CUOWK,https://open.spotify.com/track/7kAYyzVhWr3nSqAC7CUOWK
14,About the Money (feat. Young Thug),T.I.,6VtPWQZDkP6mFoe3Zrjl0X,https://open.spotify.com/track/6VtPWQZDkP6mFoe3Zrjl0X
15,The Subway,Chappell Roan,2SsY5k7UWFqgye3PUMG3Oq,https://open.spotify.com/track/2SsY5k7UWFqgye3PUMG3Oq
16,Breakaway,Kelly Clarkson,4PFAm88FBkY7IFtvCaGctZ,https://open.spotify.com/track/4PFAm88FBkY7IFtvCaGctZ
17,Dress,Taylor Swift,6oVxXO5oQ4pTpO8RSnkzvv,https://open.spotify.com/track/6oVxXO5oQ4pTpO8RSnkzvv
18,Man Of The Year,Lorde,1gvOEwQbIEjkpLdcZwtBoB,https://open.spotify.com/track/1gvOEwQbIEjkpLdcZwtBoB
19,VELOUR,Don Toliver,1XeMCnggolNEBnhhXETMBF,https://open.spotify.com/track/1XeMCnggolNEBnhhXETMBF
20,What a Pill Feels Like,leamen,4v6XbMlHxP3dbb9XO2VnA2,https://open.spotify.com/track/4v6XbMlHxP3dbb9XO2VnA2
21,California,Lana Del Rey,7oTE1KmtU2ml9zBhv9Reao,https://open.spotify.com/track/7oTE1KmtU2ml9zBhv9Reao
22,Lilith,Saint Avangeline,4RF4iaYoM1XBbdvmC6zRtD,https://open.spotify.com/track/4RF4iaYoM1XBbdvmC6zRtD
23,Oceans & Engines,NIKI,0XZW4ZKXOwo9kCyDpXGNc7,https://open.spotify.com/track/0XZW4ZKXOwo9kCyDpXGNc7
24,Have A Baby (With Me),Daniel Caesar,1V0rl8HIvcfn1ztxPuYMFc,https://open.spotify.com/track/1V0rl8HIvcfn1ztxPuYMFc
25,Over My Dead Body,Drake,2Gnsof1hvZzjE1xdLRpjtf,https://open.spotify.com/track/2Gnsof1hvZzjE1xdLRpjtf
26,Amygdala,Ecco2k,4lUc0XBymgLCx3fs6ovzRj,https://open.spotify.com/track/4lUc0XBymgLCx3fs6ovzRj
27,Shut It Down,Drake,3d8PDk3B4am5c6TsUCznUW,https://open.spotify.com/track/3d8PDk3B4am5c6TsUCznUW
28,Jealous Type,Doja Cat,1IfGOnXoMBkiKC9xljlSfa,https://open.spotify.com/track/1IfGOnXoMBkiKC9xljlSfa
29,Kelly K,Playboi Carti,3hDp5jRxvtD31giFGUaE1x,https://open.spotify.com/track/3hDp5jRxvtD31giFGUaE1x
30,Dust Bowl,Ethel Cain,7aamc4vRYmHLYI2aKTDjdJ,https://open.spotify.com/track/7aamc4vRYmHLYI2aKTDjdJ
31,WICKED,ALLDAY PROJECT,2NOMOpss7BmEXTL9f1koqn,https://open.spotify.com/track/2NOMOpss7BmEXTL9f1koqn
32,Chewing Gum,Blood Orange,3jxExv27cf3OSt0BXtAR6Z,https://open.spotify.com/track/3jxExv27cf3OSt0BXtAR6Z
33,Slow Dance,Clairo,2qmmnbJ9JR3f7vofbyje5r,https://open.spotify.com/track/2qmmnbJ9JR3f7vofbyje5r
34,Just for Now,Imogen Heap,64kEBCPbeV06af3omyh1Ju,https://open.spotify.com/track/64kEBCPbeV06af3omyh1Ju
35,Throw It In,Lil Wayne,0LElIcqYsk9bkk8v5EHVbc,https://open.spotify.com/track/0LElIcqYsk9bkk8v5EHVbc
36,Be Nice 2 Me,Bladee,2TmqHjg7uhizGndzXQdFuf,https://open.spotify.com/track/2TmqHjg7uhizGndzXQdFuf
