rank,track,artists,album,url
1,Love Songs - Remix,"Kaash Paige, 6LACK",Love Songs (Remix),https://open.spotify.com/track/5EFczt9dqrCu60udoD41Yy
2,Hate The New You,DC The Don,FUNERAL,https://open.spotify.com/track/1wr2RP5XacvgdGIEKhWsTd
3,VIVID,"Rich Brian, $NOT",VIVID,https://open.spotify.com/track/5XB4g7ZqHcn84DFJXwBS1i
4,Virginia Beach,Drake,For All The Dogs,https://open.spotify.com/track/3eP13S8D5m2cweMEg3ZDed
5,Lush Life,Col3trane,Lush Life,https://open.spotify.com/track/5ti0Fa5weiVe7idv0PEUtA
6,Please Don't Fall In Love With Me,Khalid,Please Don't Fall In Love With Me,https://open.spotify.com/track/7jEpRsSusmGqKFISucMnV7
7,P,Jaden,ERYS (Deluxe),https://open.spotify.com/track/5m9Oa79lqWTRxTmHjbxOX3
8,DON'T LET ME GO - Sped Up,"Noah Tonin, dray tyg, ay3demi",DON'T LET ME GO,https://open.spotify.com/track/5UPBOwX3lQ9ZEVDWmfYl7l
9,Tough Love,"Diddy, Swae Lee",The Love Album: Off The Grid,https://open.spotify.com/track/4TGLRG5aA6iP2ndWN627S6
10,Rich Baby Daddy Without Red,JaySeaRich,Rich Baby Daddy Without Red,https://open.spotify.com/track/5w0KPYIa7DUpstlDL7vLts
11,Flirt,"Souly Had, Delly",B.L.I.S.S.,https://open.spotify.com/track/12nstVLLFafgd5mhZDpcwW
12,Down & Out,"Landon Cube, raspy, SypSki",Down & Out,https://open.spotify.com/track/7wIcRhedBpZGpLf9PGKUEh
13,PRINCESS CUT (feat. Chlöe),"Offset, Chlöe",SET IT OFF,https://open.spotify.com/track/6ImlaH0w77rWxihtFnmov7
14,How To Love,Lil Wayne,Tha Carter IV (Complete Edition),https://open.spotify.com/track/5W7BcYDIaeXnpG3e39T7hJ
15,Easy To Love,Seth Melrose,Melrose Mafia,https://open.spotify.com/track/62W23NmU5Os2h7fUrHc50p
16,3AM,"Russ, Ty Dolla $ign",SHAKE THE SNOW GLOBE (DELUXE),https://open.spotify.com/track/6xRNqXP3baPR9buXr8vreM
17,Forecast - Mini Version,"tobi lou, FARADA",Baggy Weather (Mini Version),https://open.spotify.com/track/0Zo3NeDU7ar90fNGQsAQEp
18,The Color Violet,Tory Lanez,Alone At Prom,https://open.spotify.com/track/3azJifCSqg9fRij2yKIbWz
19,4EVA,Anoyd,4EVA,https://open.spotify.com/track/0I82l4SzrDe13pQCC6OCEa
20,White Dress,Kanye West,The Man with the Iron Fists (Original Motion Picture Soundtrack),https://open.spotify.com/track/1gTANFZlqRitzVx7YSenzA
21,Fire,Russ,Fire,https://open.spotify.com/track/7gjoOSCTd7hOKGUy2obiZG
22,World of Trouble,Kossisko,World of Trouble,https://open.spotify.com/track/1cu7b3hcYX6f6shXwqR1V0
23,Circa 2015,Jaden,CTV3: Cool Tape Vol. 3,https://open.spotify.com/track/4NU4ZK3ncM05KPUc8JSuQ5
24,Juke Jam (feat. Justin Bieber & Towkio),"Chance the Rapper, Justin Bieber, Towkio",Coloring Book,https://open.spotify.com/track/3eze1OsZ1rqeXkKStNfTmi
25,Suicidal,YNW Melly,Melly vs. Melvin,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
26,Moral of the Story (feat. Niall Horan),"Ashe, Niall Horan",Moral of the Story (feat. Niall Horan),https://open.spotify.com/track/2NWVdwbd2hPIzC2lyf4y63
27,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),https://open.spotify.com/track/0AAMnNeIc6CdnfNU85GwCH
28,MY EYES,Travis Scott,UTOPIA,https://open.spotify.com/track/4kjI1gwQZRKNDkw1nI475M
29,...The Make Up (Live),Tory Lanez,PLAYBOY Live,https://open.spotify.com/track/2wzMdrxJ5W2SRX9YYPoPcP
30,Kiss Me Thru The Phone,"Soulja Boy, Sammie",iSouljaBoyTellem,https://open.spotify.com/track/2q4rjDy9WhaN3o9MvDbO21
31,Let Me Go,Lou Val,Don't Look Now,https://open.spotify.com/track/1olXA1jnOZ7kIZqLQxeJkW
32,Intro,Khalid,Free Spirit,https://open.spotify.com/track/5BfMJ6iytQnu1r7iiCYSXe
33,Abhi Mujh Mein Kahin,"Ajay-Atul, Sonu Nigam",Agneepath (Original Motion Picture Soundtrack),https://open.spotify.com/track/73y649QhnXdcm6fRdvfraO
34,Endless Sky (feat. greek),"Alé Araya, greek",in visions,https://open.spotify.com/track/1q3IPJtWFRfUNaRGEGGVQa
35,How To Hate,"Lil Wayne, T-Pain",Tha Carter IV (Complete Edition),https://open.spotify.com/track/2ZiMQKIieJ7GTRYnO8fP8p
36,Get Along Better,"Drake, Ty Dolla $ign",Certified Lover Boy,https://open.spotify.com/track/5ScbulRnixQ2XAdvrPMFjz
37,Count On You (feat. Lil Wayne),"Love Mansuy, Lil Wayne",Count On You (feat. Lil Wayne),https://open.spotify.com/track/6Hrc0eL42HQNVlAQMWvXwC
38,Love Galore (feat. Travis Scott),"SZA, Travis Scott",Ctrl,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs
39,White Piano,Deion Reverie,White Piano,https://open.spotify.com/track/1PHs5iOyaWwqN072QanK4N
40,Time & Location,"Patrick Cc:, Jonah Zed, Kwe the Artist",Joyride,https://open.spotify.com/track/4mtFoc6vsccUM02FrlNXaX
41,Cabin Fever from The Hill,Jaden,CTV3: Day Tripper's Edition,https://open.spotify.com/track/6EH9eJIsl7TX1uiE7rcTeb
42,Dazed & Confused,Ruel,Dazed & Confused,https://open.spotify.com/track/2pyjbGTpJCPjMYwCbdymiF
43,AM I DREAMING (feat. Miley Cyrus),"Lil Nas X, Miley Cyrus",MONTERO,https://open.spotify.com/track/6isTQfKXhNO3EyJd9mSxx8
44,SAVAGE ANTHEM,PARTYNEXTDOOR,PARTYMOBILE,https://open.spotify.com/track/7I0Sleck98bBPRZItY0w76
45,Circa 2013,Jaden,CTV3: Day Tripper's Edition,https://open.spotify.com/track/1pdOGODzq3cf8dOgtB3AAN
46,black & white,"Jeremy Zucker, Chelsea Cutler",black & white,https://open.spotify.com/track/0j2l3sf15o9vczIATwA3Xr
